kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/CUDA/function_pointers/basic_statement/kernel.cu,PASS,0.135,0.009,0.005,0.497,0.859,0.826,2.331
/datadrive/gpuverify-tests/CUDA/function_pointers/check_return_value/kernel.cu,PASS,0.136,0.009,0.010,0.502,0.983,0.618,2.259
/datadrive/gpuverify-tests/CUDA/function_pointers/constant_value/kernel.cu,FAIL(6),0.177,0.009,0.007,0.497,0.708,0.616,2.014
/datadrive/gpuverify-tests/CUDA/function_pointers/pass_struct/requires/kernel.cu,PASS,0.104,0.015,0.005,0.455,0.588,0.504,1.671
/datadrive/gpuverify-tests/CUDA/function_pointers/funcptr_lt/kernel.cu,PASS,0.137,0.010,0.027,0.545,0.905,0.576,2.200
/datadrive/gpuverify-tests/CUDA/function_pointers/funcptr_to_ptr/kernel.cu,PASS,0.135,0.011,0.011,0.551,0.824,0.582,2.113
/datadrive/gpuverify-tests/CUDA/inheritance_struct_simplify/direct/kernel.cu,PASS,0.141,0.011,0.007,0.375,0.499,0.459,1.491
/datadrive/gpuverify-tests/CUDA/inheritance_struct_simplify/indirect/kernel.cu,PASS,0.134,0.013,0.007,0.375,0.496,0.469,1.493
/datadrive/gpuverify-tests/CUDA/function_pointers/return_value/kernel.cu,PASS,0.134,0.009,0.008,0.496,0.818,0.582,2.047
/datadrive/gpuverify-tests/CUDA/function_pointers/pass_struct/call/kernel.cu,FAIL(6),0.143,0.010,0.005,0.500,0.817,0.670,2.145
/datadrive/gpuverify-tests/CUDA/function_pointers/pass_struct/requires_call/kernel.cu,PASS,0.149,0.010,0.005,0.501,0.861,0.578,2.104
/datadrive/gpuverify-tests/CUDA/large_constant_array/kernel.cu,PASS,0.136,0.009,0.007,0.415,0.508,0.496,1.570
/datadrive/gpuverify-tests/CUDA/globalarray/fail/kernel.cu,FAIL(6),0.136,0.009,0.004,0.455,0.579,0.620,1.804
