kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/pass/struct_char/kernel.cu,PASS,0.184,0.018,0.008,0.341,0.457,0.649,0.696,2.354
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/basic_argument_pass/kernel.cu,PASS,0.138,0.009,0.007,0.295,0.545,0.868,0.938,2.799
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/basic_argument_fail/kernel.cu,FAIL(201),0.136,0.009,0.006,0.295,0.497,0.818,1.071,2.833
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/unknown_function/kernel.cu,FAIL(4),0.146,0.009,0.006,0.000,0.000,0.000,0.000,0.161
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/basic_assignment_fail/kernel.cu,FAIL(201),0.136,0.015,0.015,0.295,0.536,0.863,1.102,2.962
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/fail/init_race/kernel.cu,FAIL(202),0.142,0.009,0.005,0.295,0.500,0.657,4.801,6.409
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/basic_assignment_pass/kernel.cu,PASS,0.138,0.016,0.022,0.349,0.545,0.857,0.942,2.868
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/basic_statement/kernel.cu,PASS,0.161,0.009,0.005,0.296,0.536,1.017,0.862,2.886
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/constant_value/kernel.cu,FAIL(201),0.141,0.010,0.006,0.295,0.541,0.746,1.062,2.800
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/pass_struct/requires/kernel.cu,PASS,0.151,0.015,0.005,0.255,0.456,0.543,0.662,2.086
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/funcptr_lt/kernel.cu,PASS,0.136,0.009,0.009,0.297,0.500,0.821,0.981,2.753
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/funcptr_to_ptr/kernel.cu,PASS,0.137,0.009,0.005,0.295,0.538,0.937,1.027,2.947
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/check_return_value/kernel.cu,PASS,0.140,0.016,0.005,0.296,0.537,1.018,1.307,3.319
/datadrive/gpurepair/Toolchain/testsuite/CUDA/function_pointers/funcptr_to_ptr_add/kernel.cu,FAIL(201),0.136,0.009,0.007,0.302,0.537,0.983,1.187,3.161
